pubmed	year	title	professors
40024585	2025	Exploring biotechnology for plastic recycling, degradation and upcycling for a sustainable future.	Andreas Jupke,Jürgen Klankermayer,Lars Blank,Ulrich Schwaneberg
39735920	2024	Concatenating Microbial, Enzymatic, and Organometallic Catalysis for Integrated Conversion of Renewable Carbon Sources.	Andreas Jupke,Jürgen Klankermayer,Lars Blank,Lars Lauterbach
38865343	2024	"Synthesis and Application of Robust Spiro [Fluorene-9] CAAC Ruthenium Alkylidene Complexes for the ""One-Pot"" Conversion of Allyl Acetate to Butane-1,4-diol."	Jürgen Klankermayer
38129507	2023	Author Correction: Interdisciplinary development of an overall process concept from glucose to 4,5-dimethyl-1,3-dioxolane via 2,3-butanediol.	Andreas Jupke,Jürgen Klankermayer,Lars Blank
37974008	2023	Interdisciplinary development of an overall process concept from glucose to 4,5-dimethyl-1,3-dioxolane via 2,3-butanediol.	Andreas Jupke,Jürgen Klankermayer,Lars Blank
37083068	2023	Making Persistent Plastics Degradable.	Jürgen Klankermayer
36883250	2023	Parahydrogen-Induced Polarization of a Labeled, Cancer-Targeting DNA Aptamer.	Jürgen Klankermayer
36448365	2023	Effective Production of Selected Dioxolanes by Sequential Bio- and Chemocatalysis Enabled by Adapted Solvent Switching.	Jürgen Klankermayer
34458054	2021	MIXed plastics biodegradation and UPcycling using microbial communities: EU Horizon 2020 project MIX-UP started January 2020.	Andreas Jupke,Jürgen Klankermayer,Lars Blank,Ulrich Schwaneberg
33531296	2021	Mapping Cell Viability Quantitatively and Independently From Cell Density in 3D Gels Noninvasively.	Jürgen Klankermayer,Matthias Wessling
31912617	2020	Efficient Plastic Waste Recycling to Value-Added Products by Integrated Biomass Processing.	Jürgen Klankermayer
31341604	2019	A highly active non-precious transition metal catalyst for the hydrogenation of carbon dioxide to formates.	Jürgen Klankermayer
31141252	2019	Ruthenium-Catalyzed Synthesis of Cyclic and Linear Acetals by the Combined Utilization of CO	Jürgen Klankermayer
30105308	2018	Molecular catalyst systems as key enablers for tailored polyesters and polycarbonate recycling concepts.	Jürgen Klankermayer
30059190	2018	Non-Pairwise Interactions in Parahydrogen Experiments: Nuclear Exchange of Single Protons Enables Bulk Water Hyperpolarization.	Jürgen Klankermayer
28682000	2017	Hyperpolarizing Water with Parahydrogen.	Jürgen Klankermayer
28634851	2017	Multi-step biocatalytic depolymerization of lignin.	Jürgen Klankermayer,Ulrich Schwaneberg
28590515	2017	Tailor-made Molecular Cobalt Catalyst System for the Selective Transformation of Carbon Dioxide to Dialkoxymethane Ethers.	Jürgen Klankermayer
28185380	2017	Advanced Biofuels and Beyond: Chemistry Solutions for Propulsion and Production.	Jürgen Klankermayer
27750034	2016	Genetic and biochemical insights into the itaconate pathway of Ustilago maydis enable enhanced production.	Jürgen Klankermayer,Lars Blank
27621152	2016	Ruthenium-Catalyzed Modular Synthesis of Cyclic Tertiary Amines from Lactams.	Jürgen Klankermayer
27581330	2016	Ruthenium-Catalyzed Synthesis of Dialkoxymethane Ethers Utilizing Carbon Dioxide and Molecular Hydrogen.	Jürgen Klankermayer
27243931	2016	Acute embryo toxicity and teratogenicity of three potential biofuels also used as flavor or solvent.	Jürgen Klankermayer
27237963	2016	Selective Catalytic Synthesis Using the Combination of Carbon Dioxide and Hydrogen: Catalytic Chess at the Interface of Energy and Chemistry.	Jürgen Klankermayer
26755762	2016	Harnessing renewable energy with CO2 for the chemical value chain: challenges and opportunities for catalysis.	Jürgen Klankermayer
26749183	2016	Direct Hydrogenation of Biobased Carboxylic Acids Mediated by a Nitrogen-centered Tridentate Phosphine Ligand.	Jürgen Klankermayer,Regina Palkovits
26661531	2016	Tailor-Made Ruthenium-Triphos Catalysts for the Selective Homogeneous Hydrogenation of Lactams.	Jürgen Klankermayer
26542554	2015	CHEMISTRY. Love at second sight for CO₂ and H₂ in organic synthesis.	Jürgen Klankermayer
25809138	2015	Ruthenium-catalyzed C-C bond cleavage in lignin model substrates.	Jürgen Klankermayer
30154993	2015	Hydrogenation of carbon dioxide to methanol using a homogeneous ruthenium-Triphos catalyst: from mechanistic investigations to multiphase catalysis.	Jürgen Klankermayer
25208046	2014	Highly versatile catalytic hydrogenation of carboxylic and carbonic acid derivatives using a Ru-triphos complex: molecular control over selectivity and substrate scope.	Jürgen Klankermayer
25146346	2014	Ruthenium-catalyzed reductive methylation of imines using carbon dioxide and molecular hydrogen.	Jürgen Klankermayer
24038915	2013	Carbon dioxide as a C₁ building block for the formation of carboxylic acids by formal catalytic hydrocarboxylation.	Jürgen Klankermayer
23946135	2013	Ruthenium-catalyzed direct methylation of primary and secondary aromatic amines using carbon dioxide and molecular hydrogen.	Jürgen Klankermayer
23794128	2013	Homogeneous catalytic hydrogenation of amides to amines.	Jürgen Klankermayer
23408275	2013	Frustrated Lewis Pairs: from dihydrogen activation to asymmetric catalysis.	Jürgen Klankermayer
23360380	2013	Bifunctional ruthenium(II) hydride complexes with pendant strong Lewis acid moieties: structure, dynamics, and cooperativity.	Jürgen Klankermayer
22707348	2012	Hydrogenation of carbon dioxide to methanol by using a homogeneous ruthenium-phosphine catalyst.	Jürgen Klankermayer
22622589	2012	Asymmetric hydrogenation of imines with a recyclable chiral frustrated Lewis pair catalyst.	Jürgen Klankermayer
22431427	2012	Enantioselective hydrosilylation with chiral frustrated Lewis pairs.	Jürgen Klankermayer
22052827	2011	Organometallic complexes in supported ionic-liquid phase (SILP) catalysts: a PHIP NMR spectroscopy study.	Jürgen Klankermayer
