reaction	homogenous?	phase	method	solvent	temperature	time	yield (%)	k [min^-1]	catalyst	catalyst name	chemist	chemist name	group	group name	doi
6	yes	liquid	inorganic catalysis						CHEBI:747215	[ZnCl₂(TMGeech)]	0009-0005-3470-2005	Martin Fuchs	4	Herres-Pawlis	10.1002/cssc.202300192
7	yes	liquid	inorganic catalysis						CHEBI:747215	[ZnCl₂(TMGeech)]	0009-0005-3470-2005	Martin Fuchs	4	Herres-Pawlis	10.1002/cssc.202300192
6	yes	liquid	inorganic catalysis							[Zn(DMEG2ch)₂]	0009-0007-5243-1952	Tabea Becker	4	Herres-Pawlis	10.1002/cssc.202400933
7	yes	liquid	inorganic catalysis							[Zn(DMEG2ch)₂]	0009-0007-5243-1952	Tabea Becker	4	Herres-Pawlis	10.1002/cssc.202400933
7			microbe						EC:3.1.1.101	PETase			0	External	10.1016/j.synbio.2025.07.013
12			microbe						EC:3.1.1.102	MHETase			0	External	10.1016/j.synbio.2025.07.013
10			inorganic catalysis						CHEBI:82289	Sb₂O₃			0	External	10.1002/cssc.202100400
10			inorganic catalysis							Sb(OAc)₃			0	External	10.1002/cssc.202100400
23			inorganic catalysis						CHEBI:62984	zinc acetate			0	External	10.1002/cssc.202100400
28			inorganic catalysis							Ru(triphos-xyl)methylallyl	0000-0001-5225-4393	Stefan Westhues	1	Klankenmeyer	10.1126/sciadv.aat9669
7	yes	solid	mechanical	same as reagent	RT				no catalyst				0	External	10.1039/D3GC03643J
7	yes	solid	mechanical	same as reagent	RT				CHEBI:31344	CaO			0	External	10.1039/D3GC03643J
7	yes	solid	mechanical	same as reagent	RT				CHEBI:131526	K₂CO₃	0009-0003-9731-4347	Sebastian Schier	3	Pich	
1	yes	liquid	inorganic catalysis	THF	50	6.0	14.0	0.0016	CHEBI:747278	[FeCl₂(TMG5NMe₂asme)]	0009-0003-7051-6782	Lisa Burkart	4	Herres-Pawlis	10.1002/asia.202201195
37	yes	liquid	inorganic catalysis	THF	60	6.0	40.0	0.0030	CHEBI:747278	[FeCl₂(TMG5NMe₂asme)]	0009-0003-7051-6782	Lisa Burkart	4	Herres-Pawlis	10.1002/asia.202201195
38	yes	liquid	inorganic catalysis	THF	60	6.0	76.0	0.0076	CHEBI:747278	[FeCl₂(TMG5NMe₂asme)]	0009-0003-7051-6782	Lisa Burkart	4	Herres-Pawlis	10.1002/asia.202201195
39	yes	liquid	inorganic catalysis	THF	60	6.0	37.0	0.0035	CHEBI:747278	[FeCl₂(TMG5NMe₂asme)]	0009-0003-7051-6782	Lisa Burkart	4	Herres-Pawlis	10.1002/asia.202201195
40	yes	liquid	inorganic catalysis	THF	60	6.0	74.0	n.d.	CHEBI:747278	[FeCl₂(TMG5NMe₂asme)]	0009-0003-7051-6782	Lisa Burkart	4	Herres-Pawlis	10.1002/asia.202201195
41	yes	liquid	inorganic catalysis	THF	60	6.0	100.0	n.d.	CHEBI:747278	[FeCl₂(TMG5NMe₂asme)]	0009-0003-7051-6782	Lisa Burkart	4	Herres-Pawlis	10.1002/asia.202201195
42	yes	liquid	inorganic catalysis	THF	60	1.0	81.0	n.d.	CHEBI:747278	[FeCl₂(TMG5NMe₂asme)]	0009-0003-7051-6782	Lisa Burkart	4	Herres-Pawlis	10.1002/asia.202201195
42	yes	liquid	inorganic catalysis	THF	60	1.0	27.0	n.d.	no catalyst		0009-0003-7051-6782	Lisa Burkart	4	Herres-Pawlis	10.1002/asia.202201195
