group	Professor	ORCID	wikidata	Topic	Institution Name	Institution ROR	Faculty Name	Faculty Website	Department Name	Department Website	Institute Name	Institute Website	Institute Logo	Lab Name	Lab Website	Lab Logo	Professor Website
1	Jürgen Klankermayer	0000-0003-2143-9402	Q47502463	Translationale Molekulare Katalyse	RWTH	04xfq0f34	Faculty of Mathematics and Natural Sciences	https://www.fb1.rwth-aachen.de	Department of Chemistry	https://www.chemie.rwth-aachen.de	Institute of Technical and Macromolecular Chemistry	https://www.itmc.rwth-aachen.de	https://www.itmc.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaalwggj				https://www.itmc.rwth-aachen.de/cms/itmc/das-institut/team/~ludc/prof-klankermayer/?allou=1&lidx=1
2	Regina Palkovits	0000-0002-4970-2957	Q21264550	Heterogene Katalyse & Technische Chemie	RWTH	04xfq0f34	Faculty of Mathematics and Natural Sciences	https://www.fb1.rwth-aachen.de	Department of Chemistry	https://www.chemie.rwth-aachen.de	Institute of Technical and Macromolecular Chemistry	https://www.itmc.rwth-aachen.de	https://www.itmc.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaalwggj				https://www.itmc.rwth-aachen.de/cms/itmc/das-institut/team/~mfon/regina-palkovits/?allou=1&lidx=1
3	Andrij Pich	0000-0003-1825-7798	Q53682723	Funktionale & Interaktive Polymere	RWTH	04xfq0f34	Faculty of Mathematics and Natural Sciences	https://www.fb1.rwth-aachen.de	Department of Chemistry	https://www.chemie.rwth-aachen.de	Institute of Technical and Macromolecular Chemistry	https://www.itmc.rwth-aachen.de	https://www.itmc.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaalwggj				https://www.itmc.rwth-aachen.de/cms/itmc/das-institut/team/~lrae/prof-pich/?allou=1&lidx=1
4	Sonja Herres-Pawlis	0000-0002-4354-4353	Q21264701	Bioanorganische Chemie	RWTH	04xfq0f34	Faculty of Mathematics and Natural Sciences	https://www.fb1.rwth-aachen.de	Department of Chemistry	https://www.chemie.rwth-aachen.de	Institute of Inorganic Chemistry	https://www.itmc.rwth-aachen.de	https://www.itmc.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaalwggj	Chair of Bioinorganic Chemistry	https://www.bioac.ac.rwth-aachen.de	https://www.bioac.ac.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaaqcxcd	https://www.bioac.ac.rwth-aachen.de/cms/bioac/der-lehrstuhl/mitarbeiter/institutsleitung/~kkxh/prof-dr-rer-nat-sonja-herres-pawlis/?allou=1&lidx=1
5	Lars Blank	0000-0003-0961-4976	Q24574355	Angewandte Mikrobiologie	RWTH	04xfq0f34	Department of Biology	https://www.biologie.rwth-aachen.de	Biotechnology	https://www.biologie.rwth-aachen.de/cms/biologie/fachgruppe/Institute-und-Lehrstuehle/~okxev/Institute-of-Biotechnology/lidx/1/	Institute of Applied Microbiology	https://www.iamb.rwth-aachen.de	https://www.iamb.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaanwtny				https://www.iamb.rwth-aachen.de/cms/iamb/das-institut/team/gruppe-blank/institutsleiter/~qreim/lars-blank/?allou=1&lidx=1
6	Lars Lauterbach	0000-0002-6601-6473	Q91920540	Synthetische Mikrobiologie	RWTH	04xfq0f34	Department of Biology	https://www.biologie.rwth-aachen.de	Biotechnology	https://www.biologie.rwth-aachen.de/cms/biologie/fachgruppe/Institute-und-Lehrstuehle/~okxev/Institute-of-Biotechnology/lidx/1/	Institute of Applied Microbiology	https://www.iamb.rwth-aachen.de	https://www.iamb.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaanwtny				https://www.iamb.rwth-aachen.de/cms/iamb/das-institut/team/gruppe-lauterbach/institutsleitung/~qnxok/lars-lauterbach/?allou=1&lidx=1
7	Ulrich Schwaneberg	0000-0003-4026-701X	Q30158965	Biotechnologie	RWTH	04xfq0f34								Chair of Biotechnology	https://www.biotec.rwth-aachen.de	https://www.biotec.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaacyfwlsh	https://www.biotec.rwth-aachen.de/cms/biotec/der-lehrstuhl/abbt-team/~ldbc/ulrich-schwaneberg/?allou=1&lidx=1
8	Grit Walther	0000-0003-0022-9027	Q137917276	Supply Chain Management	RWTH	04xfq0f34								School of Business and Economics	https://www.wiwi.rwth-aachen.de	https://www.wiwi.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaakewnn	https://www.wiwi.rwth-aachen.de/cms/wirtschaftswissenschaften/die-fakultaet/institute-und-lehrstuehle/professuren-wiwi/~cszx/walther-grit/?allou=1&lidx=1
9	Alexander Mitsos	0000-0003-0335-6566	Q56547205	Systemverfahrenstechnik	RWTH	04xfq0f34	Faculty of Mathematics and Natural Sciences	https://www.fb1.rwth-aachen.de						Aachen Chemical Engineering	https://www.avt.rwth-aachen.de	https://www.avt.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaamntmk	https://www.avt.rwth-aachen.de/cms/avt/die-avt/team/allemitarbeiter/~iswv/mitsos-alexander/?allou=1&lidx=1
10	Andreas Jupke	0000-0001-6551-5695	Q63995895	Fluidverfahrenstechnik	RWTH	04xfq0f34	Faculty of Mathematics and Natural Sciences	https://www.fb1.rwth-aachen.de						Aachen Chemical Engineering	https://www.avt.rwth-aachen.de	https://www.avt.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaamntmk	https://www.avt.rwth-aachen.de/cms/avt/die-avt/team/allemitarbeiter/~isuy/jupke-andreas/?allou=1&lidx=1
