Professor	Topic	Institution Name	Institution ROR	Department	Department Logo	Website
Jürgen Knankermeyer	Translationale Molekulare Katalyse	RWTH	04xfq0f34	Institute of Technical and Macromolecular Chemistry	https://www.itmc.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaalwggj	https://www.itmc.rwth-aachen.de/cms/itmc/das-institut/team/~ludc/prof-klankermayer/?allou=1&lidx=1
Regina Palkovits	Heterogene Katalyse & Technische Chemie	RWTH	04xfq0f34	Institute of Technical and Macromolecular Chemistry	https://www.itmc.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaalwggj	https://www.itmc.rwth-aachen.de/cms/itmc/das-institut/team/~mfon/regina-palkovits/?allou=1&lidx=1
Andrij Pich	Funktionale & Interaktive Polymere	RWTH	04xfq0f34	Institute of Technical and Macromolecular Chemistry	https://www.itmc.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaalwggj	https://www.itmc.rwth-aachen.de/cms/itmc/das-institut/team/~lrae/prof-pich/?allou=1&lidx=1
Lars M. Blank	Angewandte Mikrobiologie	RWTH	04xfq0f34	Institute of Applied Microbiology	https://www.iamb.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaanwtny	https://www.iamb.rwth-aachen.de/cms/iamb/das-institut/team/gruppe-blank/institutsleiter/~qreim/lars-blank/?allou=1&lidx=1
Lars Lauterbach	Synthetische Mikrobiologie	RWTH	04xfq0f34	Institute of Applied Microbiology	https://www.iamb.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaanwtny	https://www.iamb.rwth-aachen.de/cms/iamb/das-institut/team/gruppe-lauterbach/institutsleitung/~qnxok/lars-lauterbach/?allou=1&lidx=1
Grit Walther	Supply Chain Management	RWTH	04xfq0f34	School of Business and Economics	https://www.wiwi.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaakewnn	https://www.wiwi.rwth-aachen.de/cms/wirtschaftswissenschaften/die-fakultaet/institute-und-lehrstuehle/professuren-wiwi/~cszx/walther-grit/?allou=1&lidx=1
Sonja Herres-Pawlis	Bioanorganische Chemie	RWTH	04xfq0f34	Chair of Bioinorganic Chemistry	https://www.bioac.ac.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaaqcxcd	https://www.bioac.ac.rwth-aachen.de/cms/bioac/der-lehrstuhl/mitarbeiter/institutsleitung/~kkxh/prof-dr-rer-nat-sonja-herres-pawlis/?allou=1&lidx=1
Alexander Mitsos	Systemverfahrenstechnik	RWTH	04xfq0f34	Aachen Chemical Engineering	https://www.avt.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaamntmk	https://www.avt.rwth-aachen.de/cms/avt/die-avt/team/allemitarbeiter/~iswv/mitsos-alexander/?allou=1&lidx=1
Andreas Jupke	Fluidverfahrenstechnik	RWTH	04xfq0f34	Aachen Chemical Engineering	https://www.avt.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaamntmk	https://www.avt.rwth-aachen.de/cms/avt/die-avt/team/allemitarbeiter/~isuy/jupke-andreas/?allou=1&lidx=1
Jørgen Magnus	Bioverfahrenstechnik	RWTH	04xfq0f34	Aachen Chemical Engineering	https://www.avt.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaamntmk	https://www.avt.rwth-aachen.de/cms/avt/die-avt/team/allemitarbeiter/~bavoyi/j-rgen-barsett-magnus-/?allou=1&lidx=1
Matthias Wessling	Chemische Verfahrenstechnik	RWTH	04xfq0f34	Aachen Chemical Engineering	https://www.avt.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaamntmk	https://www.avt.rwth-aachen.de/cms/avt/die-avt/team/allemitarbeiter/~itcu/wessling-matthias/?allou=1
Ulrich Schwaneberg	Biotechnologie	RWTH	04xfq0f34	Chair of Biotechnology	https://www.biotec.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaacyfwlsh	https://www.biotec.rwth-aachen.de/cms/biotec/der-lehrstuhl/abbt-team/~ldbc/ulrich-schwaneberg/?allou=1&lidx=1
Peter Wasserscheid	Nachhaltige Wasserstoff-wirtschaft	Helmholtz Institute Erlangen-Nürnberg	01vs6se76		https://www.hi-ern.de/static/media/Logo.62d1f13a.svg	https://www.hi-ern.de/profile/wasserscheid_p
Ulrich Schurr	Pflanzenwissenschaften	Forschungszentrum Jülich	02nv7yv05		https://www.fz-juelich.de/static/media/Logo.2ceb35fc.svg	https://www.fz-juelich.de/profile/schurr_u
Kathrin Greiff	Anthropogene Stoffkreisläufe	RWTH	04xfq0f34	Chair of Anthropogenic Material Cycles	https://www.ants.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaafmazr	https://www.ants.rwth-aachen.de/cms/iar/der-lehrstuhl/mitarbeiter/institutsleitung/~jqfyf/kathrin-greiff/?allou=1&lidx=1
Niklas von der Aßen	Technische Thermodynamik	RWTH	04xfq0f34	Chair of Technical Thermodynamics	https://www.ltt.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaaaanvmia	https://www.ltt.rwth-aachen.de/cms/ltt/der-lehrstuhl/team/lehrstuhlleitung/~cwlqh/von-der-assen-niklas/?allou=1&lidx=1
Martin Grohe	Logik & Theorie Diskreter System	RWTH	04xfq0f34	Chair of Logic and Theory of Discrete Systems	https://www.lics.rwth-aachen.de/global/show_picture.asp?id=aaaaaaaacqreluw	https://www.lics.rwth-aachen.de/cms/lics/der-lehrstuhl/team/dozierende/~ocwf/martin-grohe/?allou=1&lidx=1
